% Transfer function for transducer: 19PM1620G measured at 0.5 V amplitude within a frequency range of 101 Hz and 50000 Hz
% Data written on: 2015/02/26
% Frequency(Hz)	Re(Hbx)(m/V)	Im(Hbx)(m/V)
1.010000000000000000e+02	-5.914105271242245501e-05	7.961455618299402293e-07
2.010000000000000000e+02	-9.992007615036434693e-06	-9.316723845773754520e-06
3.010000000000000000e+02	8.107658085941982584e-07	9.082365986797393140e-08
4.010000000000000000e+02	-2.973942550303850623e-06	-5.481940544242023875e-07
5.010000000000000000e+02	-1.864700390419690691e-06	3.626620830279678419e-07
6.010000000000000000e+02	-1.538909933353817444e-06	3.917256264301713896e-07
7.010000000000000000e+02	-1.840069628342966088e-06	4.712841251834495522e-07
8.010000000000000000e+02	-2.303851541412806964e-06	1.006812671007988952e-07
9.010000000000000000e+02	-1.755266346287518611e-06	1.780726446738797340e-07
1.001000000000000000e+03	-1.927544573437114296e-06	-1.057365175866614885e-07
1.101000000000000000e+03	-2.106051918803588956e-06	1.004247772178422984e-08
1.201000000000000000e+03	-1.985290679138006694e-06	-9.654427468108745234e-09
1.301000000000000000e+03	-1.847512075406670644e-06	2.530975784644364885e-07
1.401000000000000000e+03	-2.199049023984070693e-06	1.250953979893504771e-07
1.501000000000000000e+03	-2.105810249228189020e-06	3.949885097532028822e-07
1.601000000000000000e+03	-2.091737935155294903e-06	3.472136898268599956e-07
1.701000000000000000e+03	-2.232603330214360775e-06	3.797120882295536122e-07
1.801000000000000000e+03	-2.359055845503208951e-06	1.415031754683370560e-07
1.901000000000000000e+03	-2.235038606919100899e-06	3.425900828512810083e-07
2.001000000000000000e+03	-2.551436929082987060e-06	2.081347617349494288e-07
2.101000000000000000e+03	-2.859626755280417747e-06	6.483457966566414362e-07
2.201000000000000000e+03	-2.553985099378612158e-06	1.469976058337655582e-06
2.301000000000000000e+03	-1.748877577572828238e-06	2.137116106359516806e-06
2.401000000000000000e+03	-9.997804658055752529e-07	1.517028764913667112e-06
2.501000000000000000e+03	-7.936359520006674469e-07	9.794145151503338691e-07
2.601000000000000000e+03	-8.910391220746460042e-07	5.161265329156685792e-07
2.701000000000000000e+03	-1.254310491047320602e-06	3.831111767546527531e-07
2.801000000000000000e+03	-1.319827621096943324e-06	2.306777285124312049e-07
2.901000000000000000e+03	-1.351046383507597066e-06	3.641525408166490721e-07
3.001000000000000000e+03	-1.360718700592701161e-06	2.224220084655214800e-07
3.101000000000000000e+03	-1.421646010458075319e-06	1.470796329766198620e-07
3.201000000000000000e+03	-1.463793823702271210e-06	2.785983587039380526e-07
3.301000000000000000e+03	-1.627726777523664077e-06	3.622750812973504752e-07
3.401000000000000000e+03	-1.595544302847586477e-06	2.066551698797702123e-07
3.501000000000000000e+03	-1.747503515753929776e-06	3.342068325740470088e-07
3.601000000000000000e+03	-1.739618965710854944e-06	4.066227373123248702e-07
3.701000000000000000e+03	-1.746573901100717529e-06	3.953535458242373302e-07
3.801000000000000000e+03	-1.643715703999133311e-06	3.969706576016971479e-07
3.901000000000000000e+03	-1.711871203421672601e-06	5.389864114780493961e-07
4.001000000000000000e+03	-1.546205694449936937e-06	5.353027628341012383e-07
4.101000000000000000e+03	-1.477497356805442974e-06	4.751322106920708800e-07
4.201000000000000000e+03	-1.510500782124163447e-06	4.630392867208529900e-07
4.301000000000000000e+03	-1.615129267200294889e-06	4.104568999623991638e-07
4.401000000000000000e+03	-1.501357210778124206e-06	3.897706049790266699e-07
4.501000000000000000e+03	-1.609605229617892565e-06	2.978941663803907445e-07
